"Year,Month_Name,State,Vehicle_Category,EV_Sales_Quantity,Date_parsed"
"2015,Jan,Goa,2-Wheelers,0,2015-01-01"
"2015,Jan,Goa,4-Wheelers,0,2015-01-01"
"2015,Jan,Goa,3-Wheelers,0,2015-01-01"
"2015,Jan,Gujarat,Others,0,2015-01-01"
"2015,Jan,Gujarat,Bus,0,2015-01-01"
"2015,Jan,Gujarat,2-Wheelers,0,2015-01-01"
"2015,Jan,Gujarat,4-Wheelers,0,2015-01-01"
"2015,Jan,Gujarat,3-Wheelers,0,2015-01-01"
"2015,Jan,Himachal Pradesh,Others,0,2015-01-01"
"2015,Jan,Himachal Pradesh,Bus,0,2015-01-01"
"2015,Jan,Himachal Pradesh,2-Wheelers,0,2015-01-01"
"2015,Jan,Himachal Pradesh,4-Wheelers,0,2015-01-01"
"2015,Jan,Himachal Pradesh,3-Wheelers,0,2015-01-01"
"2015,Jan,Haryana,Others,0,2015-01-01"
"2015,Jan,Haryana,Bus,0,2015-01-01"
"2015,Jan,Haryana,4-Wheelers,0,2015-01-01"
"2015,Jan,Haryana,2-Wheelers,0,2015-01-01"
"2015,Jan,Haryana,4-Wheelers,1,2015-01-01"
"2015,Jan,Haryana,3-Wheelers,0,2015-01-01"
"2015,Jan,Jharkhand,Others,0,2015-01-01"
"2015,Jan,Jharkhand,Bus,0,2015-01-01"
"2015,Jan,Jharkhand,2-Wheelers,1,2015-01-01"
"2015,Jan,Jharkhand,2-Wheelers,0,2015-01-01"
"2015,Jan,Jharkhand,4-Wheelers,0,2015-01-01"
"2015,Jan,Jharkhand,3-Wheelers,0,2015-01-01"
"2015,Jan,Karnataka,Others,0,2015-01-01"
"2015,Jan,Karnataka,Bus,0,2015-01-01"
"2015,Jan,Karnataka,2-Wheelers,12,2015-01-01"
"2015,Jan,Karnataka,2-Wheelers,1,2015-01-01"
"2015,Jan,Karnataka,2-Wheelers,0,2015-01-01"
"2015,Jan,Karnataka,4-Wheelers,0,2015-01-01"
"2015,Jan,Karnataka,4-Wheelers,55,2015-01-01"
"2015,Jan,Karnataka,3-Wheelers,0,2015-01-01"
"2015,Jan,Karnataka,3-Wheelers,1,2015-01-01"
"2015,Jan,Kerala,Others,0,2015-01-01"
"2015,Jan,Kerala,Bus,0,2015-01-01"
"2015,Jan,Kerala,2-Wheelers,1,2015-01-01"
"2015,Jan,Kerala,2-Wheelers,0,2015-01-01"
"2015,Jan,Kerala,4-Wheelers,0,2015-01-01"
"2015,Jan,Kerala,4-Wheelers,1,2015-01-01"
"2015,Jan,Kerala,3-Wheelers,0,2015-01-01"
"2015,Jan,Ladakh,Bus,0,2015-01-01"
"2015,Jan,Ladakh,Others,0,2015-01-01"
"2015,Jan,Ladakh,2-Wheelers,0,2015-01-01"
"2015,Jan,Ladakh,4-Wheelers,0,2015-01-01"
"2015,Jan,Maharashtra,Others,0,2015-01-01"
"2015,Jan,Maharashtra,Bus,0,2015-01-01"
"2015,Jan,Maharashtra,3-Wheelers,0,2015-01-01"
"2015,Jan,Maharashtra,2-Wheelers,55,2015-01-01"
"2015,Jan,Maharashtra,2-Wheelers,0,2015-01-01"
"2015,Jan,Maharashtra,2-Wheelers,4,2015-01-01"
"2015,Jan,Maharashtra,4-Wheelers,0,2015-01-01"
"2015,Jan,Maharashtra,4-Wheelers,11,2015-01-01"
"2015,Jan,Meghalaya,Others,0,2015-01-01"
"2015,Jan,Meghalaya,Bus,0,2015-01-01"
"2015,Jan,Meghalaya,2-Wheelers,0,2015-01-01"
"2015,Jan,Meghalaya,4-Wheelers,0,2015-01-01"
"2015,Jan,Meghalaya,3-Wheelers,0,2015-01-01"
"2015,Jan,Madhya Pradesh,Others,0,2015-01-01"
"2015,Jan,Madhya Pradesh,Bus,0,2015-01-01"
"2015,Jan,Madhya Pradesh,2-Wheelers,2,2015-01-01"
"2015,Jan,Madhya Pradesh,2-Wheelers,0,2015-01-01"
"2015,Jan,Madhya Pradesh,4-Wheelers,0,2015-01-01"
"2015,Jan,Madhya Pradesh,3-Wheelers,0,2015-01-01"
"2015,Jan,Mizoram,Others,0,2015-01-01"
"2015,Jan,Mizoram,2-Wheelers,0,2015-01-01"
"2015,Jan,Mizoram,4-Wheelers,0,2015-01-01"
"2015,Jan,Mizoram,3-Wheelers,0,2015-01-01"
"2015,Jan,Nagaland,Others,0,2015-01-01"
"2015,Jan,Nagaland,Bus,0,2015-01-01"
"2015,Jan,Nagaland,2-Wheelers,0,2015-01-01"
"2015,Jan,Nagaland,4-Wheelers,0,2015-01-01"
"2015,Jan,Nagaland,3-Wheelers,0,2015-01-01"
"2015,Jan,Odisha,Others,0,2015-01-01"
"2015,Jan,Odisha,Bus,0,2015-01-01"
"2015,Jan,Odisha,2-Wheelers,0,2015-01-01"
"2015,Jan,Odisha,2-Wheelers,1,2015-01-01"
"2015,Jan,Odisha,4-Wheelers,0,2015-01-01"
"2015,Jan,Odisha,3-Wheelers,0,2015-01-01"
"2015,Jan,Punjab,Others,0,2015-01-01"
"2015,Jan,Punjab,Bus,0,2015-01-01"
"2015,Jan,Punjab,2-Wheelers,0,2015-01-01"
"2015,Jan,Punjab,2-Wheelers,1,2015-01-01"
"2015,Jan,Punjab,4-Wheelers,0,2015-01-01"
"2015,Jan,Punjab,3-Wheelers,0,2015-01-01"
"2015,Jan,Puducherry,Others,0,2015-01-01"
"2015,Jan,Puducherry,Bus,0,2015-01-01"
"2015,Jan,Puducherry,2-Wheelers,0,2015-01-01"
"2015,Jan,Puducherry,4-Wheelers,0,2015-01-01"
"2015,Jan,Puducherry,3-Wheelers,0,2015-01-01"
"2015,Jan,Rajasthan,Others,0,2015-01-01"
"2015,Jan,Rajasthan,Bus,0,2015-01-01"
"2015,Jan,Rajasthan,4-Wheelers,0,2015-01-01"
"2015,Jan,Rajasthan,2-Wheelers,1,2015-01-01"
"2015,Jan,Rajasthan,2-Wheelers,0,2015-01-01"
"2015,Jan,Rajasthan,3-Wheelers,0,2015-01-01"
"2015,Jan,Sikkim,Others,0,2015-01-01"
"2015,Jan,Sikkim,4-Wheelers,0,2015-01-01"
"2015,Jan,Sikkim,2-Wheelers,0,2015-01-01"
"2015,Jan,Tamil Nadu,Others,0,2015-01-01"
"2015,Jan,Tamil Nadu,Others,1,2015-01-01"
"2015,Jan,Tamil Nadu,Bus,0,2015-01-01"
"2015,Jan,Tamil Nadu,2-Wheelers,1,2015-01-01"
"2015,Jan,Tamil Nadu,2-Wheelers,0,2015-01-01"
"2015,Jan,Tamil Nadu,4-Wheelers,0,2015-01-01"
"2015,Jan,Tamil Nadu,4-Wheelers,2,2015-01-01"
"2015,Jan,Tamil Nadu,3-Wheelers,0,2015-01-01"
"2015,Jan,Tamil Nadu,Others,4,2015-01-01"
"2015,Jan,Tripura,Others,0,2015-01-01"
"2015,Jan,Tripura,Bus,0,2015-01-01"
"2015,Jan,Tripura,2-Wheelers,0,2015-01-01"
"2015,Jan,Tripura,4-Wheelers,0,2015-01-01"
"2015,Jan,Tripura,3-Wheelers,0,2015-01-01"
"2015,Jan,Uttarakhand,Others,0,2015-01-01"
"2015,Jan,Uttarakhand,Bus,0,2015-01-01"
"2015,Jan,Uttarakhand,2-Wheelers,0,2015-01-01"
"2015,Jan,Uttarakhand,4-Wheelers,0,2015-01-01"
"2015,Jan,Uttarakhand,3-Wheelers,0,2015-01-01"
"2015,Jan,Uttar Pradesh,Others,0,2015-01-01"
"2015,Jan,Uttar Pradesh,Bus,0,2015-01-01"
"2015,Jan,Uttar Pradesh,2-Wheelers,1,2015-01-01"
"2015,Jan,Uttar Pradesh,2-Wheelers,0,2015-01-01"
"2015,Jan,Uttar Pradesh,4-Wheelers,0,2015-01-01"
"2015,Jan,Uttar Pradesh,3-Wheelers,0,2015-01-01"
"2015,Jan,West Bengal,Others,0,2015-01-01"
"2015,Jan,West Bengal,Bus,0,2015-01-01"
"2015,Jan,West Bengal,4-Wheelers,0,2015-01-01"
"2015,Jan,West Bengal,2-Wheelers,0,2015-01-01"
"2015,Jan,West Bengal,3-Wheelers,0,2015-01-01"
"2015,Jan,Jammu And Kashmir,Others,0,2015-01-01"
"2015,Jan,Jammu And Kashmir,Bus,0,2015-01-01"
"2015,Jan,Jammu And Kashmir,2-Wheelers,0,2015-01-01"
"2015,Jan,Jammu And Kashmir,4-Wheelers,0,2015-01-01"
"2015,Jan,Jammu And Kashmir,3-Wheelers,0,2015-01-01"
"2015,Jan,Manipur,Others,0,2015-01-01"
"2015,Jan,Manipur,Bus,0,2015-01-01"
"2015,Jan,Manipur,2-Wheelers,0,2015-01-01"
"2015,Jan,Manipur,4-Wheelers,0,2015-01-01"
"2015,Jan,Manipur,3-Wheelers,0,2015-01-01"
"2016,Jan,Andhra Pradesh,Others,0,2016-01-01"
"2016,Jan,Andhra Pradesh,Bus,0,2016-01-01"
"2016,Jan,Andhra Pradesh,2-Wheelers,1,2016-01-01"
"2016,Jan,Andhra Pradesh,4-Wheelers,0,2016-01-01"
"2016,Jan,Andhra Pradesh,3-Wheelers,0,2016-01-01"
"2016,Jan,Arunachal Pradesh,Others,0,2016-01-01"
